impl,work,threads,nkeys,keyspace,ops,rep,seconds,ops_per_sec
striped,lookup,8,100000,200000,2000000,1,0.0974805,2.05169e+07
striped,lookup,8,100000,200000,2000000,2,0.0950404,2.10437e+07
coarse,lookup,16,100000,200000,2000000,0,0.942113,2.12289e+06
coarse,lookup,16,100000,200000,2000000,1,0.94964,2.10606e+06
coarse,lookup,16,100000,200000,2000000,2,1.00919,1.98179e+06
striped,lookup,16,100000,200000,2000000,0,0.0899722,2.22291e+07
striped,lookup,16,100000,200000,2000000,1,0.0822903,2.43042e+07
striped,lookup,16,100000,200000,2000000,2,0.0827757,2.41617e+07
coarse,insert,1,100000,200000,2000000,0,0.381998,5.23562e+06
coarse,insert,1,100000,200000,2000000,1,0.323767,6.17729e+06
coarse,insert,1,100000,200000,2000000,2,0.254273,7.86557e+06
striped,insert,1,100000,200000,2000000,0,0.299564,6.67638e+06
striped,insert,1,100000,200000,2000000,1,0.389492,5.1349e+06
striped,insert,1,100000,200000,2000000,2,0.410994,4.86625e+06
coarse,insert,2,100000,200000,2000000,0,0.679162,2.94481e+06
coarse,insert,2,100000,200000,2000000,1,0.769647,2.59859e+06
coarse,insert,2,100000,200000,2000000,2,0.459702,4.35064e+06
striped,insert,2,100000,200000,2000000,0,0.212194,9.42532e+06
striped,insert,2,100000,200000,2000000,1,0.180894,1.10562e+07
striped,insert,2,100000,200000,2000000,2,0.242871,8.23482e+06
coarse,insert,4,100000,200000,2000000,0,0.978452,2.04404e+06
coarse,insert,4,100000,200000,2000000,1,0.962072,2.07885e+06
coarse,insert,4,100000,200000,2000000,2,0.906074,2.20733e+06
striped,insert,4,100000,200000,2000000,0,0.19892,1.00543e+07
striped,insert,4,100000,200000,2000000,1,0.185828,1.07626e+07
striped,insert,4,100000,200000,2000000,2,0.208727,9.58188e+06
coarse,insert,8,100000,200000,2000000,0,1.36704,1.46302e+06
coarse,insert,8,100000,200000,2000000,1,1.34113,1.49128e+06
coarse,insert,8,100000,200000,2000000,2,1.38404,1.44505e+06
striped,insert,8,100000,200000,2000000,0,0.279101,7.16586e+06
striped,insert,8,100000,200000,2000000,1,0.278413,7.18357e+06
striped,insert,8,100000,200000,2000000,2,0.291342,6.86479e+06
coarse,insert,16,100000,200000,2000000,0,1.63683,1.22188e+06
coarse,insert,16,100000,200000,2000000,1,1.61734,1.2366e+06
coarse,insert,16,100000,200000,2000000,2,1.61799,1.2361e+06
striped,insert,16,100000,200000,2000000,0,0.373665,5.35238e+06
striped,insert,16,100000,200000,2000000,1,0.397699,5.02893e+06
striped,insert,16,100000,200000,2000000,2,0.382034,5.23514e+06
coarse,mixed,1,100000,200000,2000000,0,0.337016,5.93444e+06
coarse,mixed,1,100000,200000,2000000,1,0.329215,6.07506e+06
coarse,mixed,1,100000,200000,2000000,2,0.362676,5.51456e+06
striped,mixed,1,100000,200000,2000000,0,0.257978,7.7526e+06
striped,mixed,1,100000,200000,2000000,1,0.331866,6.02654e+06
striped,mixed,1,100000,200000,2000000,2,0.391146,5.11318e+06
coarse,mixed,2,100000,200000,2000000,0,0.72049,2.77589e+06
coarse,mixed,2,100000,200000,2000000,1,0.680073,2.94086e+06
coarse,mixed,2,100000,200000,2000000,2,0.672348,2.97465e+06
striped,mixed,2,100000,200000,2000000,0,0.182165,1.09791e+07
striped,mixed,2,100000,200000,2000000,1,0.207823,9.62357e+06
striped,mixed,2,100000,200000,2000000,2,0.245164,8.15779e+06
coarse,mixed,4,100000,200000,2000000,0,0.849854,2.35334e+06
coarse,mixed,4,100000,200000,2000000,1,0.895832,2.23256e+06
coarse,mixed,4,100000,200000,2000000,2,0.84745,2.36002e+06
striped,mixed,4,100000,200000,2000000,0,0.18716,1.0686e+07
striped,mixed,4,100000,200000,2000000,1,0.181057,1.10463e+07
striped,mixed,4,100000,200000,2000000,2,0.179765,1.11257e+07
coarse,mixed,8,100000,200000,2000000,0,1.04291,1.91771e+06
coarse,mixed,8,100000,200000,2000000,1,1.04775,1.90884e+06
coarse,mixed,8,100000,200000,2000000,2,1.07154,1.86647e+06
striped,mixed,8,100000,200000,2000000,0,0.182387,1.09657e+07
striped,mixed,8,100000,200000,2000000,1,0.174991,1.14292e+07
striped,mixed,8,100000,200000,2000000,2,0.190454,1.05012e+07
coarse,mixed,16,100000,200000,2000000,0,1.36884,1.46109e+06
coarse,mixed,16,100000,200000,2000000,1,1.25413,1.59473e+06
coarse,mixed,16,100000,200000,2000000,2,1.28432,1.55725e+06
striped,mixed,16,100000,200000,2000000,0,0.179273,1.11562e+07
striped,mixed,16,100000,200000,2000000,1,0.169306,1.18129e+07
striped,mixed,16,100000,200000,2000000,2,0.170542,1.17273e+07
coarse,lookup,1,1000000,2000000,2000000,0,0.454164,4.4037e+06
